Наименование ООПТ;;Площадь, га;;Профиль;Местоположение;Основные объектов охраны;Органы, осуществляющие управление ООПТ;ТИП ООПТ;ВИД ООПТ;Ссылка
;;;ООПТ регионального значения ;;;;;;;
Природный парк «Ингилор» (образован в результате преобразования природного парка «Полярно-Уральский»);;921986;;биологический;Приуральский район;"Птицы: беркут, сапсан и серый сорокопут, турпан, дупель, белая сова, дупель;";Департамент природных ресурсов и экологии ЯНАО.;Производственный;Рекреационные;https://i.postimg.cc/jjfZM5zb/image.png 
;;;;;;"Копытные: дикий северный олень, лось;";Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;"Рыбы: таймень, тугун, арктический голец;";;;;
;;;;;;Плотоядные: росомаха.;;;;
;;;;;;Историко культурные объекты: традиционные стойбища и священные места коренных народов севера, ракетные шахты времен «холодной войны», объекты 501 стройки;;;;
;;;;;;"Геологические и природно-ландшафтные объекты: озера Большое Хадатинское, Большое Щучье; «Долина нефритов»";;;;
Государственный природный заказник регионального значения «Мессо-Яхинский»;;86033;;биологический;Тазовский район;Ихтиофауна: нельма, чир, пыжьян. Орнитофауна: водоплавающие. ;Департамент природных ресурсов и экологии ЯНАО.;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/CLyD4Ncz/image.jpg 
;;;;;;Млекопитающие: бурый медведь, лось, дикий северный олень, ондатра. Пойменные озерно-болотные комплексы. ;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Места скоплений водоплавающих на пролете. Феномены: малый тундряной лебедь;;;;
Государственный природный заказник регионального значения «Полуйский»;;63 196;;биологический;Приуральский район;Ихтиофауна: чир, пыжьян, пелядь. Орнитофауна: малый тундряной лебедь, краснозобая казарка, гуменник, серый гусь, пискулька, глухарь, ястреб, скопа, орлан-белохвост, сапсан, кречет. Млекопитающие: бурый медведь, лось, выдра.;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/8kZ9J74K/image.jpg 
;;;;;;Историко-культурные объекты: объекты 501 стройки («дорога смерти»);Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
Государственный природный заказник регионального значения «Верхнеполуйский»;;195322;;биологический;Приуральский район;Ихтиофауна: чир, окунь, пелядь щука, карась, язь, елец. ;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/3RnSvqX4/image.jpg 
;;;;;;Млекопитающие: песец, медведь бурый, соболь, росомаха, норка американская, лось.;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Орнитофауна: ;;;;
;;;;;;гуменник, обыкновенный турпан, скопа, беркут, орлан – белохвост, серый журавль, кулик-сорока, филин, серый сорокопут, водоплавающие птицы (тундряный лебедь, пискулька, белощекая казарка, белоклювая гагара).;;;;
Государственный природный заказник регионального значения «Пякольский»;;438560;;биологический;Красноселькупский район;Ихтиофауна: нельма, чир, пыжьян, пелядь.;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/s2nHB89B/image.jpg  
;;;;;;Орнитофауна: малый тундряной лебедь, краснозобая казарка, пискулька, глухарь, ястреб, скопа, орлан-белохвост, сапсан, кречет.;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Млекопитающие: бурый медведь, лось, дикий северный олень, соболь, выдра.;;;;
;;;;;;Экосистемы северо-таёжной подзоны тайги и южной тундры рек Таз и Пяколькы;;;;
Государственный природный заказник регионального значения «Собты-Юганский»;;358429;;биологический;Приуральский район, Шурышкарский район;Ихтиофауна: нельма, муксун, чир, пыжьян, пелядь.;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/C5MKvRnr/image.jpg 
;;;;;;Орнитофауна: малый тундряной лебедь, краснозобая казарка, гуменник, серый гусь, пискулька, глухарь, ястреб, скопа, орлан-белохвост, сапсан, кречет.;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Млекопитающие: бурый медведь, лось, выдра, горностай, лисица, волк, росомаха, песец;;;;
Государственный природный заказник регионального значения «Ямальский»;;4113685,68;;биологический;Ямальский район;Млекопитающие: белый медведь, атлантический морж, гренландский и сельдяной киты, северный олень (островная популяция о. Белый). ;Департамент природных ресурсов и экологии ЯНАО.;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/wT8zTyjC/image.jpg 
;;;;;;Ихтиофауна: муксун, арктический голец. ;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Орнитофауна: малый лебедь, краснозобая казарка, пискулька, краснозобая гагара.;;;;
Памятник природы «Харбейский»;;563,62;;геологический;Приуральский район;Месторождение цветных агатов «Ягодное»;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;Рекреационные;https://i.postimg.cc/6QGz333P/image.jpg 
;;;;;;;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
Государственный природный заказник регионального значения «Куноватский»;;252 860,57;;биологический;Шурышкарский район;Млекопитающие: бурый медведь, лось, соболь, выдра, горностай, лисица, волк, росомаха, песец, куньи, белка, бурундук, мышевидные грызуны.;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/pVkQP8CT/image.png  https://i.postimg.cc/6528FG1F/2.png 
;;;;;;Орнитофауна: малый тундряной лебедь, краснозобая казарка, гуменник, серый гусь, пискулька, серый журавль, белый сибирский журавль, глухарь, тетерев, рябчик, ястреб, скопа, коршун, полевой лунь, зимняк, орлан-белохвост, сапсан, кречет. Млекопитающие: бурый медведь, лось, выдра, соболь.;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;Женя, два участка в этом ООПТ
;;;;;;Ихтиофауна: осетр, стерлядь.;;;;
;;;;;;Экосистемы подзоны северной тайги.;;;;
Государственный природный заказник регионального значения «Надымский»;;562995,51;;биологический;Надымский район;Млекопитающие: бурый медведь, тобольский соболь, лесная куница, ласка, тобольский горностай, ондатра, заяц-беляк, лось.;Департамент природных ресурсов и экологии ЯНАО.;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/Kzt2nx9q/image.png 
;;;;;;Орнитофауна: лебедь-кликун, серый гусь, белолобый гусь, пискулька, гуменник, свиязь, чирок-свистунок, чирок-трескунок, шилохвость, широконоска, хохлатая чернеть.;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Ихтиофауна: нельма, чир, пыжьян, пелядь.;;;;
;;;;;;Экосистемы северно-таежной подзоны тайги и южной подзоны лесотундры.;;;;
Государственный природный заказник регионального значения «Нижне-Обский»;;142203,92;;биологический;Ямальский район;Орнитофауна: шилохвость, чирок-свистунок, свиязь, синьга, хохлатая чернеть, гуси (гуменник, серый и белолобый), лебедь-кликун, чайки серебристая и сизая, кулики, тундряная и белая куропатки, болотная сова, дербник, луговой лунь, пискулька, малый лебедь, кречет, сапсан, на пролете - краснозобая казарка.;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/RVygzKCt/image.jpg 
;;;;;;Млекопитающие: заяц-беляк, лемминги, ондатра, полевки серые, лисица, песец, росомаха, ласка, горностай, лось и др. ;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Водно-болотное угодье международного значения.;;;;
Государственный природный заказник регионального значения «Сынско-Войкарский»;;292049;;биологический и зоологический ;Шурышкарский район;Нерестилища сиговых пород рыб;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/nhnGx2bC/image.png 
;;;;;;;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;ООПТ федерального значения;;;;;;;
Государственный природный заповедник «Верхне-Тазовский» (федеральное значение);;631308;;биологический;Красноселькупский район;Редкие виды животных: малый лебедь, краснозобая казарка, скопа, чернозобая гагара, филин, беркут, орлан-белохвост, сапсан, варакушка.;Министерство природных ресурсов и экологии РФ.;Непроизводственный;Рекреационные;https://i.postimg.cc/m2LP25kf/image.jpg 
;;;;;;Охотничье-промысловая фауна: глухарь, белая куропатка, лось, дикий северный олень, соболь, выдра, норка, росомаха, рысь. ;Федеральное государственное бюджетное учреждение «Государственный природный заповедник «Верхне-Тазовский»;;;
Национальный парк «Гыданский» (федеральное значение);;878174;;биологический;Тазовский район;Ихтиофауна: ценные виды лососевых, осетровых, сиговых рыб. Виды, включенные в Красную книгу РФ: белоклювая гагара, пискулька, малый лебедь, белый медведь, атлантический морж. ;Министерство природных ресурсов и экологии РФ.;Непроизводственный;Заповедные;https://i.postimg.cc/HLpZSHsv/image.jpg 
;;;;;;Территория включена в Перспективный список Рамсарской конвенции.;Федеральное государственное бюджетное учреждение «Национальный парк «Гыданский»;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Категория ООПТ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ООПТ ХМАО-Югры;;;;;;;;;;
;;;;;;;;;;
Наименовани е ООПТ;Категория ООПТ;Местоположение;Основные объектов охраны;Органы, осуществляющие управление ООПТ;Площадь, га;ТИП ООПТ;ВИД ООПТ;Ссылка;;
;;;ООПТ федерального значения;;;;;;;
Юганский;государственный природный заповедник;Сургутский район;Орнитофауна: черный аист, краснозобая казарка, гуменник, пискулька, малый лебедь, клоктун, быкновенный турпан, скопа, беркут, орлан-белохвост, степной лунь, сапсан, кречет, кобчик, кулик-сорока, кроншнеп, дупель, коростель, филин и др. ;Министерство природных ресурсов и экологии РФ. ;648636;Непроизводственный;Заповедные;https://i.postimg.cc/sgmNHZYS/image.jpg ;;
;;;Млекопитающие: лесной северный олень, медведица Менетри;Федеральное государственное бюджетное учреждение «Государственный природный заповедник «Юганский»;;;;;;
;;;;;;;;;;
Малая Сосьва;государственный природный заповедник;Берёзовский район, Октябрьский район, Советский район;"Орнитофауна: орлан-белохвост, скопа, беркут, кречет, сапсан; на пролете – краснозобая казарка. ";Федеральное государственное бюджетное учреждение «Государственный природный заповедник «Малая Сосьва» имени В.В. Раевского»;225562;Непроизводственный;Заповедные;https://i.postimg.cc/XJyFSj3k/image.jpg ;;
;;;Млекопитающие:  западносибирский бобр, дикий северный олень, лось, бурый медведь, рысь, соболь.;;;;;;;
Верхне-Кондинский;государственный природный заказник;Кондинский район, Советский район;Редкие виды растений: лобария легочная, кувшинки чистобелая и четырехгранная, пион марьин корень, очеретник белый.;Федеральное государственное бюджетное учреждение «Государственный природный заповедник «Малая Сосьва» имени В.В. Раевского»;241600;Производственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/0yQz1k0K/image.jpg ;;
;;;Орнитофауна:;;;;;;;
;;;скопа, орлан-белохвост.;;;;;;;
;;;Млекопитающие: ападносибирский (северо-азиатский) бобр.;;;;;;;
Елизаровский;государственный природный заказник;Ханты-Мансийский район;Орнитофауна:;Федеральное государственное бюджетное учреждение «Государственный природный заповедник «Малая Сосьва» имени В.В. Раевского»;76600;Непроизводственный;Заповедные;https://i.postimg.cc/c46WsrPW/image.jpg ;;
;;;орлан-белохвост, кулик – сорока, скопа, сапсан, тундрянная куропатка, стерх, краснозобая гагара, гуменник, обыкновенный турпан, пискулька, серый журавль, краснозобая казарка (на пролете), филин, большой кроншнеп.;;;;;;;
;;;Млекопитающие: барсук. ;;;;;;;
Васпухольский;государственный природный заказник;Кондинский район, Ханты-Мансийский район;Орнитофауна:;Федеральное государственное бюджетное учреждение «Государственный природный заповедник «Малая Сосьва» имени В.В. Раевского»;93200;Непроизводственный;Заповедные;https://i.postimg.cc/SQv5fVt0/image.jpg ;;
;;;беркут, белая сова, орлан-белохвост, скопа, филин. Млекопитающие: лось, медведь, соболь, выдра, росомаха, лисица, барсук.;;;;;;;
;;;Редкие, эталонные и типичные природные комплексы: ягельные боры, кедровые леса, кормовые базы.;;;;;;;
;;;ООПТ регионального значения ;;;;;;;
Кондинские озера ;Природный  парк;Советский район;Орнитофауна: скопа, орлан-белохвост, большой кроншнеп, чернозобая гагара, лебедь-кликун, кобчик;Департамент недропользования и природных ресурсов ХМАО- Югры. ;43900;Производственный;Смешанные;https://i.postimg.cc/RZQsYnB9/image.gif ;;
;;;Млекопитающие: западносибирский речной бобр, лесной северный олень.;Бюджетное учреждение ХМАО-Югры «Природный парк «Кондинские озера» им.Л.Ф. Сташкевича»;;;;;;
;;;Водная система озер Арантур, Пон-Тур, Ранге-Тур.;;;;;;;
Нумто;Природный  парк;Белоярский район;Орнитофауна: краснозобая гагара, казарка, серый гусь, лебедь малый, турпан, серый журавль, орлан белохвост, беркут, филин, кобчик, кречет, скопа и другие.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО- Югры «Природный парк «Нумто»;556664;Производственный;Смешанные;https://i.postimg.cc/4y9wQY5D/image.jpg ;;
;;;Археологические, этнокультурные памятники. ;;;;;;;
Сибирские Увалы;Природный  парк;Нижневартовский район;Орнитофауна: орлан белохвост, стерх, скопа, гуменник, серый журавль, обыкновенный турпан, пискулька, беркут и др.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Природный парк «Сибирские увалы»;299620;Непроизводственный;Рекреационные;https://i.postimg.cc/KcPMB7rZ/image.gif ;;
;;;Млекопитающие: барсук.;;;;;;;
;;;Редкие виды растений: пальчатокоренник Траунштейнера, прострел желтеющий, астра сибирская. ;;;;;;;
;;;Лишайники: лептогиум синеватый, бриория буроватая.;;;;;;;
;;;Охраняемые геологические объекты: доледниковые темные пески.;;;;;;;
;;;Археологические и этнографические памятники истории и культуры.;;;;;;;
Самаровски й Чугас;Природный  парк;Ханты-Мансийский район;Орнитофауна: орлан белохвост, филин, сапсан, луток, кречет.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Природный парк «Самаровский чугас»;6621;Непроизводственный;Селитебные;https://i.postimg.cc/ryNDKVMs/image.png ;;
;;;Сосудистые растения: кувшинка чисто-белая, вероника колосистая, кизильник черноплодный, вереск обыкновенный и др.;;;;;;;
;;;Археологические объекты.;;;;;;;
Вогулка;Природный заказник;Берёзовский район;Орнитофауна: орлан белохвост, скопа, стерх, серый журавль, малый лебедь.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;64747;Непроизводственный;Рекреационные;https://i.postimg.cc/VsgNzKWb/image.jpg ;;
;;;Млекопитающие: лось, северный олень, соболь, росомаха, медведь, выдра.;;;;;;;
Березовский;Природный  заказник;Берёзовский район;Орнитофауна: орлан белохвост, краснозобая казарка (на пролете), стерх (на пролете).;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;43320;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/PJVhYFS3/image.jpg ;;
;;;Млекопитающие: лось, заяц, горностай, барсук, красная лисица, барсук, ондатра.;;;;;;;
Сорумский;Природный  заказник;Белоярский район;Орнитофауна: орлан белохвост, скопа, кобчик, краснозобая казарка (на пролете). ;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;159300;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/Px2knRnX/image.jpg ;;
;;;Млекопитающие: лось, бурый медведь, россомаха, лисица красная, заяц-беляк, горностай, соболь, выдра, белка обыкновенная. ;;;;;;;
;;;Сосудистые растения: пальчатокаренник гебридский, кубышка малая, лютик лапландский.;;;;;;;
Унторский;Природный  заказник;Октябрьский район;Орнитофауна: орлан белохвост, кулик – сорока, скопа, сапсан, стерх, краснозобая гагара, гуменник, турпан обыкновенный, пискулька, серый журавль, краснозобая казарка (на пролете).;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;81526;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/X7Z6tLHW/image.jpg ;;
;;;Млекопитающие: барсук. ;;;;;;;
Сургутский;Природный  заказник;Сургутский район;Орнитофауна: кулик – сорока, скопа, филин, серый гусь, обыкновенный турпан, большой подорлик, серый журавль, осоед обыкновенный, кобчик. ;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;24530;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/NjmqjMvP/image.jpg ;;
;;;"Места отела и миграции лося; промысловые пушные звери (соболь, выдра, норка, ондатра, барсук).";;;;;;;
;;;Сосудистые растения: пальчатокаренник гебридский, волчеягодник обыкновенный, тайник сердцевидный и др.;;;;;;;
Система озёр Ун-Новыинклор, Ай-Новыинклор;Памятник природы;Белоярский район;"Уникальный природный комплекс озёр, имеющих экологическое значение, как источника чистой питьевой воды; уникальные водные биоценозы в естественном состоянии - мезотрофные озёра карстового происхождения; прибрежный лесной биоценоз.";Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО- Югры «Природный парк «Нумто»;598,4;Непроизводственный;Селитебные;https://i.postimg.cc/0Q5Ln0ML/image.jpg ;;
Луговские мамонты;Памятник природы;Ханты-Мансийский район;Эталонные участки нетронутой природы, редких и особо ценных палеонтологических объектов, стоянки древнего человека палеолитического времени.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;161,2;Непроизводственный;Рекреационные;https://i.postimg.cc/Jz1vMQKt/image.jpg ;;
Лешак-Щел ья;Памятник природы;Берёзовский район;Эталонные участки нетронутой природы, редких и особо ценных палеонтологических объектов юрского и нижнемелового периодов, охрана предгорно-увалистого ландшафта.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;2320;Непроизводственный;Рекреационные;https://i.postimg.cc/JzrrvZk5/image.jpg ;;
