Наименование ООПТ;;Площадь, га;;Профиль;Местоположение;Основные объектов охраны;Органы, осуществляющие управление ООПТ;ТИП ООПТ;ВИД ООПТ;Ссылка
Ильичевски й бор;Памятник природы;Кондинский район;Орнитофауна: орлан белохвост, кулик- сорока.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;38;Непроизводственный;ООПТ с лесопромышленным комплексом ;https://i.postimg.cc/rsDWS78z/image.jpg ;;
;;;Млекопитающие: горностай, бурундук, белка, бурозубка, заяц-беляк, бурый медведь, соболь, горностай, ласка, колонок и норка американская. Пути миграции лося. ;;;;;;;
;;;Эталонные участки кедрового массива.;;;;;;;
Остров Овечий;Памятник природы;Нижневартовский район;Млекопитающие: ондатра, заяц-беляк.  ;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;176;Непроизводственный;Рекреационные;https://i.postimg.cc/3Jp1VDTN/image.jpg ;;
;;;Уникальная природная экосистема расположенная в близи промышленного г. Мегион.;;;;;;;
Остров Смольный;Памятник природы;Нижневартовский район;Орнитофауна: орлан-белохвост, овсянка-дубровник, водно-болотные птицы (чирок-свистунок, шилохвость, свиязь, гоголь, некоторые кулики, сизая чайка);Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;486;Непроизводственный;Рекреационные;https://i.postimg.cc/FzSyMww8/image.jpg ;;
;;;Млекопитающие: бурозубка, ондатра, норка, белка, соболь, лисица.;;;;;;;
;;;Природные экосистемы, имеющие эстетическое и рекреационное значение вблизи промышленного г. Мегион.;;;;;;;
Лесоболотн ая зона Большое Каюково;Памятник природы;Сургутский район;Орнитофауна: орлан белохвост, скопа, сапсан, филин, беркут, краснозобая казарка (на пролете), гуменник.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;5753;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/cLhRGR5x/image.jpg ;;
;;;Млекопитающие: северный олень, лось, соболь, бурый медведь, выдра, норка, росомаха, лисица, песец, белка, волк, рысь, заяц беляк, белка-летяга, колонок, горностай, ласка, ондатра.;;;;;;;
;;;Археологические объекты.;;;;;;;
Чеускински й бор;Памятник природы;Нефтеюганский район;Орнитофауна: сапсан, филин, кречет, краснозобая казарка (на пролете).;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;100;Непроизводственный;Рекреационные;https://i.postimg.cc/FFS0H5nn/image.jpg ;;
;;;Млекопитающие: барсук. ;;;;;;;
;;;Старейший кедровый бор;;;;;;;
Дальний Нырис;Памятник природы;Нефтеюганский район;;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;1773,1;Производственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/MKbR10w7/image.jpg ;;
;;;Высокопродуктивные эталонные насаждения кедра сибирского;;;;;;;
Реполовский кедровый бор;памятник природы;Ханты-Мансийский район;Орнитофауна: скворец обыкновенный.;Департамент недропользования и природных ресурсов ХМАО-Югры. Бюджетное учреждение ХМАО-Югры «Объединенная дирекция особо охраняемых природных территорий»;161,3;Непроизводственный;Рекреационные;Рисунок в письме;;
;;;Сосудистые растения: гудайера ползучая, гроздовник многораздельный.;;;;;;;
;;;Высокопродуктивные ценные кедровые леса;;;;;;;
ООПТ местного значения;;;;;;;;;;
Озеро Ранге-Тур (ООПТ местного значения);Памятник природы;Советский район;Орнитофауна: орлан белохвост, скопа, сапсан, филин, беркут, гуменник, краснозобая казарка (на пролете), кулик-сорока, серый сорокопут, кречет.;Федеральное государственное бюджетное учреждение «Государственный природный заповедник «Малая Сосьва» имени В.В. Раевского»;863,4;Непроизводственный;Рекреационные;https://i.postimg.cc/cHntCwT8/image.gif ;;
;;;Млекопитающие: лось, соболь, горностай, ласка, заяц-беляк, белка обыкновенная, бурундук, красная и красно-серая полевки, лесной лемминг, бурозубка. ;;;;;;;
;;;Сосудистые растения: прострел желтеющий, гвоздика разноцветная, вероника колосистая, хаммарбия болотная. ;;;;;;;
;;;Историко-культурные и археологические объекты;;;;;;;
;;;;;;;;;;
ООПТ юга Тюменской области;;;;;;;;;;
;;;;;;;;;;
Название;Категорий ООПТ;Площадь, га;ТИП ООПТ;ВИД ООПТ;Ссылка;;;;;
ООПТ федерального значения;;;;;;;;;;
Белоозерский;государственный природный заказник;17 850,00;Непроизводственный;Заповедные;;;;;;
Тюменский;государственный природный заказник;53 585,00;Непроизводственный;Заповедные;;;;;;
ООПТ регионального значения (заказники);;;;;;;;;;
Абалакский природно-исторический комплекс;государственный природный заказник;88173,14;Непроизводственный;Рекреационные;;;;;;
Алабуга;государственный природный заказник;24181,8784;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Александровский;государственный природный заказник;81552,02;Непроизводственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Афонский;государственный природный заказник;17496,36;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Барсучье;государственный природный заказник;20753;Непроизводственный;Рекреационные;;;;;;
Викуловский;государственный природный заказник;75995,74;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Гузенеево;государственный природный заказник;10670;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Дубынский;государственный природный заказник;11764,68;Непроизводственный;Рекреационные;;;;;;
Ереминский;государственный природный заказник;5175;Непроизводственный;Рекреационные;;;;;;
Иевлевский;государственный природный заказник;13514,6868;Непроизводственный;Рекреационные;;;;;;
Кабанский;государственный природный заказник;21883,36;Непроизводственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Клепиковский;государственный природный заказник;12925,3;Непроизводственный;Рекреационные;;;;;;
Комиссаровский;государственный природный заказник;4389,9;Непроизводственный;Рекреационные;;;;;;
Куньякский;государственный природный заказник;116215,83;Производственный;ООПТ с нефтегазовым освоением;;;;;;
Лебяжье;государственный природный заказник;2786,6;Непроизводственный;Рекреационные;;;;;;
Мошкаринский;государственный природный заказник;15142,6;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Ново-Таповский;государственный природный заказник;8319,11;Непроизводственный;Рекреационные;;;;;;
Окуневский;государственный природный заказник;2227;Непроизводственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Омутинский;государственный природный заказник;5015,1138;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Орловский;государственный природный заказник;12969,39;Производственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Песочный;государственный природный заказник;1406,3308;Производственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Песьяновский;государственный природный заказник;11740,86;Непроизводственный;Рекреационные;;;;;;
Поваровский;государственный природный заказник;13310,4;Производственный;ООПТ с нефтегазовым освоением;;;;;;
Рафайловский;государственный природный заказник;16904,64;Производственный;ООПТ с нефтегазовым освоением;;;;;;
Северный;государственный природный заказник;17563,7832;Производственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Стершиный, участок 1;государственный природный заказник;44566,8745;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Стершиный, участок 2;государственный природный заказник;49464,9256;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Супринский;государственный природный заказник;24585,2868;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Таволжанский;государственный природный заказник;1070,99;Производственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Таповский;государственный природный заказник;45261,19;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Тобольский материк;государственный природный заказник;4192,902395;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Троицкий;государственный природный заказник;30967,5;Непроизводственный;Рекреационные;;;;;;
Тукузский;государственный природный заказник;45735,62;Непроизводственный;Заповедные;;;;;;
Упоровский;государственный природный заказник;6593;Непроизводственный;Рекреационные;;;;;;
Успенский;государственный природный заказник;4253,94;Непроизводственный;Рекреационные;;;;;;
Юргинский;государственный природный заказник;8144,38;Непроизводственный;Рекреационные;;;;;;
Южный;государственный природный заказник;5685,3379;Производственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
;ООПТ регионального значения (памятники природы);;;;;;;;;
Баяновский;Памятник природы;466;Производственный;ООПТ с лесопромышленным комплексом;;;;;;
Березовая роща;Памятник природы;14,91;Непроизводственный;Селитебные;;;;;;
Болото Рямовое;Памятник природы;2278,1252;Производственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Бочанка;Памятник природы;2249,999985;Непроизводственный;Рекреационные;;;;;;
Боровский;Памятник природы;8,3601;Непроизводственный;Рекреационные;;;;;;
Брусничное;Памятник природы;303,7394;Непроизводственный;Рекреационные;;;;;;
Веселая грива;Памятник природы;501,0953;Непроизводственный;Рекреационные;;;;;;
Гусиный остров;Памятник природы;11,5;Производственный;ООПТ с сельскохозяйственной деятельностью;;;;;;
Ембаево;Памятник природы;68,373;Непроизводственный;Рекреационные;;;;;;
Заморозовский;Памятник природы;2327,16;Непроизводственный;Рекреационные;;;;;;
Зиновский курган;Памятник природы;0,302342;Непроизводственный;Рекреационные;;;;;;
Ишимские бугры – Гора Любви;Памятник природы;99,899;Непроизводственный;Рекреационные;;;;;;
Ишимские бугры – Кучумова гора;Памятник природы;318,7902;Непроизводственный;Рекреационные;;;;;;
Ишимские бугры – Афонь кинский;Памятник природы;79,8586;Непроизводственный;Рекреационные;;;;;;
Каменское;Памятник природы;5,000004;Непроизводственный;Селитебные;;;;;;
Карташовский бор;Памятник природы;138,653;Непроизводственный;Рекреационные;;;;;;
Козлов мыс;Памятник природы;85,9;Непроизводственный;Рекреационные;;;;;;
Киселевская гора с Чувашским мысом;Памятник природы;92;Непроизводственный;Селитебные;;;;;;
Колмаковский парк;Памятник природы;5,9216;Непроизводственный;Селитебные;;;;;;
Коневский бор;Памятник природы;360,0415;Непроизводственный;Рекреационные;;;;;;
Криволукский бор;Памятник природы;196,976;Непроизводственный;Рекреационные;;;;;;
Крюковское;Памятник природы;690,6158;Производственный;Смешанные;;;;;;
Кулаково;Памятник природы;28,1948;Непроизводственный;Рекреационные;;;;;;
Лесопарк имени Ю.А. Гагарина;Памятник природы;104,783;Непроизводственный;Селитебные;;;;;;
Лесопарк Затю- менский;Памятник природы;100,0562;Непроизводственный;Селитебные;;;;;;
Липняк Шайтанский;Памятник природы;30;Непроизводственный;Рекреационные;;;;;;
Марьино ущелье;Памятник природы;26,878;Непроизводственный;Рекреационные;;;;;;
Медянская роща;Памятник природы;119,719;Непроизводственный;Рекреационные;https://i.postimg.cc/QCkQNwJz/image.jpg ;;;;;
Минеральные озе ра;Памятник природы;149,26;Непроизводственный;Рекреационные;https://i.postimg.cc/gkVSrB0m/image.jpg ;;;;;
Народный парк;Памятник природы;72;Непроизводственный;Селитебные;https://i.postimg.cc/zf61zPd8/image.jpg ;;;;;
Новоаракчинский;Памятник природы;318,4633;Непроизводственный;Рекреационные;https://i.postimg.cc/yYcxw08D/image.jpg ;;;;;
Новозаимский парк ;Памятник природы;8,5044;Непроизводственный;Рекреационные;https://i.postimg.cc/xC2b4gKT/2.jpg ;;;;;
Озерно-болотный комплекс «Ишим- бай»;Памятник природы;119,2365;Непроизводственный;Рекреационные;https://i.postimg.cc/MKxdQbNw/image.jpg ;;;;;
Озеро Большой Уват;Памятник природы;19087,03;Непроизводственный;Рекреационные;https://i.postimg.cc/ZYDs1yMz/image.jpg ;;;;;
Озеро Монастырское;Памятник природы;1277,6348;Непроизводственный;Рекреационные;https://i.postimg.cc/cHgfp6zX/image.jpg ;;;;;
Озеро Соленое;Памятник природы;109,9139;Непроизводственный;Рекреационные;https://i.postimg.cc/d3grQFbw/image.jpg ;;;;;
Озеро Табан;Памятник природы;180,33617;Непроизводственный;Рекреационные;https://i.postimg.cc/VNPgBqHm/image.jpg ;;;;;
Озерный;Памятник природы;2822,03;Непроизводственный;Рекреационные;https://i.postimg.cc/kGTYT2Rw/image.jpg ;;;;;
Окрестности дома отдыха «Тобольский»;Памятник природы;202,04;Непроизводственный;Селитебные;https://i.postimg.cc/pTDB6p4z/image.jpg ;;;;;
Окрестности села  Вагай;Памятник природы;62,89;Непроизводственный;Селитебные;https://i.postimg.cc/Mp8FZJbW/image.jpg ;;;;;
Панин  бугор;Памятник природы;459,97;Непроизводственный;Селитебные;https://i.postimg.cc/dQHWPKpk/image.jpg ;;;;;
Падунский;Памятник природы;534,7308;Непроизводственный;Рекреационные;https://i.postimg.cc/WpwvMtDR/image.jpg ;;;;;
Пихтовый мыс;Памятник природы;212;Производственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/nLrzWBDQ/image.jpg ;;;;;
Полуяновский бор;Памятник природы;554,842;Непроизводственный;Рекреационные;https://i.postimg.cc/ZqbYd3cM/image.jpg ;;;;;
Припышминские;Памятник природы;315,7;Непроизводственный;Рекреационные;https://i.postimg.cc/5NDFLPYk/image.jpg ;;;;;
боры;;;;;;;;;;
Рахимовский;Памятник природы;867,2712;Производственный;ООПТ с сельскохозяйственной деятельностью;https://i.postimg.cc/BZgg5G47/image.jpg ;;;;;
Роща Декабристов;Памятник природы;78,866;Непроизводственный;Селитебные;https://i.postimg.cc/xT3WbZ49/image.jpg ;;;;;
Синицинский бор;Памятник природы;1110,73;Непроизводственный;Рекреационные;https://i.postimg.cc/K4SsgPnk/image.jpg ;;;;;
Сингульский лес;Памятник природы;735,892055;Непроизводственный;Рекреационные;https://i.postimg.cc/x1VWk2Rx/image.jpg ;;;;;
Система Черноковских озер;Памятник природы;3585,653;Непроизводственный;Рекреационные;https://i.postimg.cc/rpMXHkR0/image.jpg ;;;;;
Старопогостовский бугор;Памятник природы;18;Непроизводственный;Рекреационные;https://i.postimg.cc/rs32ZR5M/image.jpg ;;;;;
Тополя;Памятник природы;58,9261;Непроизводственный;Селитебные;https://i.postimg.cc/8P902V9k/image.jpg ;;;;;
Урочище Бузан;Памятник природы;6,8345;Непроизводственный;Рекреационные;https://i.postimg.cc/yYbM7RgH/image.jpg ;;;;;
Урочище Орлы;Памятник природы;42,25;Непроизводственный;Заповедные;https://i.postimg.cc/brY7wH9z/image.jpg ;;;;;
Успенское;Памятник природы;5,9205;Непроизводственный;Селитебные;https://i.postimg.cc/DfgF3mPv/image.jpg ;;;;;
Успенский - 2;Памятник природы;40,7268;Непроизводственный;Рекреационные;https://i.postimg.cc/t4795yPX/2.jpg ;;;;;
Хохловский;Памятник природы;0,0635;Непроизводственный;Рекреационные;https://i.postimg.cc/Ghd2vZq2/image.jpg ;;;;;
курган;;;;;;;;;;
Червишевский;Памятник природы;12,8666;Непроизводственный;Рекреационные;https://i.postimg.cc/5t6j6LpS/image.jpg ;;;;;
Шашовский, уча сток 1;Памятник природы;636,29759;Непроизводственный;Рекреационные;https://i.postimg.cc/rpP0JQzH/image.jpg ;;;;;
Шашовский, участки 2, 3;Памятник природы;4,45513;Непроизводственный;Селитебные;https://i.postimg.cc/65rZXr17/2-3.jpg ;;;;;
Южаковский;Памятник природы;3833,58;Производственный;ООПТ с сельскохозяйственной деятельностью;https://i.postimg.cc/V6vv0MRF/image.jpg ;;;;;
Юртоборовский;Памятник природы;37,177707;Производственная;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/zXgLkC1t/image.jpg ;;;;;
Язевский;Памятник природы;254,92593;Непроизводственный;Заповедные;https://i.postimg.cc/504v76mH/image.jpg ;;;;;
;ООПТ регионального значения (Областной полигон экологического мониторинга);;;;;;;;;
Областной полигон экологического мониторинга;Полигон экологического мониторинга;3695;Непроизводственный;Заповедные;https://i.postimg.cc/mrNCyQ7f/image.jpg ;;;;;
;;;;;;;;;;
Женя, предлагаю сделать описание следующим образом:;;;;;;;;;;
При нажатии на ООПТ появляется окно (на примере геопортала ТО);;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
НАИМЕНОВАНИЕ ООПТ ;;;;;;;;;;
Тип ООПТ: производственный (показать выше над видом может быть при помощи границы, например, производственные – темно-серая граница, непроизводственные – может быть розовая или оранжевая, как будет лучше);;;;;;;;;;
Вид ООПТ: ООПТ с лесопромышленным комплексом (показываем цветом);;;;;;;;;;
Категория ООПТ: государственный природный заказник;;;;;;;;;;
Значение ООПТ: региональное ;;;;;;;;;;
Площадь: 24181,88 га (Площадь указываем с округлением до 2 знаков после ,);;;;;;;;;;
"Основные объекты охраны: Охотничье-промысловая фауна (лось, косуля, бурый медведь, заяц-беляк, лисица, куница, барсук, горностай, колонок, серая и белая куропатки, тетерев, водоплавающие и околоводные птицы) и среда ее обитания (болотные комплексы, заболоченные участки с зарослями кустарников, вырубки, гари, заброшенные сельхозугодья, приречные ландшафты); растительные сообщества, редкие и лекарственные растения; редкие виды животных (орлан-белохвост, беркут, кречет, сапсан, большой подорлик) (Женя, объекты охраны берем с сайта http://oopt.aari.ru)";;;;;;;;;;
Обзорная карта ООПТ (кликаем и выходит окно с картинкой);;;;;;;;;;
Показатели мониторинга земель ООПТ (Женя вот эти показатели сюда, получается, что будет как всплывающее окошко);;;;;;;;;;
Оценка состояния ООПТ (Женя, эти два пункта должны будут наполняться, мы сделаем только для некоторых ООПТ);;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Женя, а вот меню, которое слева;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Только у нас в основе наша классификация ;;;;;;;;;;
Типы ООПТ (кликаем);;;;;;;;;;
Производственные (показываем цвет границы);;;;;;;;;;
- ООПТ с нефтегазовым освоением (цвет);;;;;;;;;;
- ООПТ с лесопромышленным комплексом (цвет);;;;;;;;;;
- ООПТ с сельскохозяйственной деятельностью (цвет);;;;;;;;;;
- Смешанные (цвет);;;;;;;;;;
Непроизводственные (показываем цвет границы);;;;;;;;;;
- Селитебные (цвет);;;;;;;;;;
- Рекреационные (цвет);;;;;;;;;;
- ООПТ с традиционным природопользованием (цвет);;;;;;;;;;
- Заповедные (цвет);;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Тип ООПТ;Вид ООПТ;Кол-во ООПТ;;;;Площадь ООПТ, тыс. га;;;;
;;юг ТО;ХМАО-Югра;ЯНАО;ТО;юг ТО;ХМАО-Югра;ЯНАО;ТО;
Производственный;ООПТ с нефтегазовым освоением;3;3;3;9;146,43;189,58;4762,71;5098,72;
;ООПТ с лесопромышленным комплексом;14;3;3;20;317,29;243,41;713,67;1274,37;
;ООПТ с сельскохозяйственной деятельностью;12;-;-;12;151,35;-;-;151,35;
;Смешанный;1;2;-;3;0,69;600,56;-;601,25;
Всего ООПТ производственного типа ;;30;8;6;44;615,76;1033,55;5476,38;7125,69;
Непроизводственный;Селитебные;14;2;-;16;1,27;7,22;-;8,49;
;Рекреационные;53;8;3;64;268,07;368,47;1553,85;2190,39;
;ООПТ с традиционным природопользованием;-;2;4;6;-;124,85;1028,95;1153,8;
;Заповедные;6;4;1;11;121,16;1043,99;878,17;2043,32;
Всего ООПТ непроизводственного типа ;;73;16;8;97;390,5;1544,53;3460,97;5396;
;Итого;103;24;14;141;1006,2;2578,1;8937,4;12521,7;
;;;;;;;;;;
;;;;;;;;;;
На 2021 год ;;;;;;;;;;
По ТО – рекреационные 63 S = ЯНАО 155,39 тыс. га + ХМАО 34,81 + юг ТО 20,38 = 210,58;;;;;;;;;;
ООПТ с нефтегаз 10 S = ЯНАО 4762,71 (3 шт) + ХМАО 233,48 (4) + юг ТО 146,4 (3) = 5142,59;;;;;;;;;;
ООПТ с лесопром комплексом 14 = ЯНАО 0 + ХМАО 0 + ;;;;;;;;;;
Селитебные 19;;;;;;;;;;
ООПТ с традиционным природ 8;;;;;;;;;;
Заповедные 11;;;;;;;;;;
Смешанные 2;;;;;;;;;;
ООПТ с сельск 12;;;;;;;;;;
